Unnamed: 0,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name,ra,dec,travel_time_years
53,6.67,36.0,0.667,7600.0,5.4,3607.0,0.38,0.38,-0.34,2,2,3.56228,0.13955587430816,1,GJ 15 A c,4.6126677,44.0247296,46.474822301788095
54,3.25,10.6,1.7,8.63182,0.0607,3500.0,0.41,0.4,0.1,1,3,15.1285,0.3276384792213325,1,GJ 163 b,62.3228353,-53.3711768,197.37200590425263
55,2.5,6.8,2.39,25.63058,0.1254,3500.0,0.41,0.4,0.1,1,3,15.1285,0.3951353403376144,1,GJ 163 c,62.3228353,-53.3711768,197.37200590425263
56,5.92,29.4,0.779,603.95116,1.0304,3500.0,0.41,0.4,0.1,1,3,15.1285,0.3170841498173176,1,GJ 163 d,62.3228353,-53.3711768,197.37200590425263
57,13.8,301.93699,0.631,2288.0,2.41,3370.0,0.38,0.36,0.3,1,1,12.356,0.1392306687398541,1,GJ 179 b,73.0245495,6.4752347,161.20094556320493
58,2.03,4.76743,3.13,2.38129,0.034,5485.0,2.24,0.96,-0.4,1,2,37.0788,0.4588465838498603,1,GJ 2030 b,50.8237604,-7.7950429,483.74373748372955
59,12.3,4069.15709,12.0,25533.11353,16.761,5485.0,2.24,0.96,-0.4,1,2,37.0788,0.1026499575876858,1,GJ 2030 c,50.8237604,-7.7950429,483.74373748372955
60,0.566,0.126,3.82,1.7446999,0.02123,3485.0,0.43,0.42,0.15,1,1,15.2142,0.5844711349382309,1,GJ 238 b,98.454881,-58.5250316,198.49007979829332
61,1.83,4.0,3.59,14.238,0.0818,3451.0,0.36,0.36,-0.03,1,1,5.58057,0.5081094724729605,1,GJ 251 b,103.7002499,33.2664632,72.80618005678654
62,1.51,2.89,4.61,18.6498,0.091101,3382.0,0.29,0.29,0.09,1,2,5.921535,0.6123166029254583,1,GJ 273 b,111.852091,5.225807,77.25453554431957
63,1.06,1.18,5.44,4.7234,0.036467,3382.0,0.29,0.29,0.09,1,2,5.921535,0.7672694853521488,2,GJ 273 c,111.852091,5.225807,77.25453554431957
64,2.13,3.34,1.89,2.8531054,0.03165,3556.0,0.52,0.52,-0.06,1,1,22.4751,0.4040694659951853,1,GJ 3090 b,20.4384281,-46.7147234,293.2184664638707
65,1.18,1.78,5.95,1.22003,0.0197,3717.0,0.5,0.68,-0.3,1,3,28.4712,0.7092103013544048,1,GJ 3138 b,32.2977385,-16.3392495,371.44580457422467
66,1.88,4.18,3.46,5.974,0.057,3717.0,0.5,0.68,-0.3,1,3,28.4712,0.4926826829038379,1,GJ 3138 c,32.2977385,-16.3392495,371.44580457422467
67,3.23,10.5,1.71,257.8,0.698,3717.0,0.5,0.68,-0.3,1,3,28.4712,0.4514727665909965,1,GJ 3138 d,32.2977385,-16.3392495,371.44580457422467
68,13.3,794.5,1.86,695.66,1.151,3492.73,0.43,0.42,0.301,1,2,15.1968,0.3067662737859454,1,GJ 317 b,130.2445254,-23.452809,198.2630729633306
69,13.5,522.5,1.17,6739.323,5.23,3492.73,0.43,0.42,0.301,1,2,15.1968,0.1516374445086354,1,GJ 317 c,130.2445254,-23.452809,198.2630729633306
70,13.3,797.7493,1.86,3771.0,4.11,3897.0,0.63,0.65,-0.06,1,2,20.5266,0.1718965594370611,1,GJ 328 b,133.7819507,1.5420011,267.79761485899013
71,4.91,21.4,0.993,241.8,0.657,3897.0,0.63,0.65,-0.06,1,2,20.5266,0.3912573868485549,1,GJ 328 c,133.7819507,1.5420011,267.79761485899013
72,5.19,23.54,0.925,30.5987,0.14339,3466.0,0.4,0.42,0.02,1,4,20.1903,0.283432268275155,1,GJ 3293 b,67.1484425,-25.1713396,263.41012068669284
73,4.87,21.09,1.0,122.6196,0.36175,3466.0,0.4,0.42,0.02,1,4,20.1903,0.3255289668336937,1,GJ 3293 c,67.1484425,-25.1713396,263.41012068669284
74,2.67,7.6,2.19,48.1345,0.19394,3466.0,0.4,0.42,0.02,1,4,20.1903,0.3851220368861256,1,GJ 3293 d,67.1484425,-25.1713396,263.41012068669284
75,1.63,3.28,4.16,13.2543,0.08208,3466.0,0.4,0.42,0.02,1,4,20.1903,0.5655878572491716,1,GJ 3293 e,67.1484425,-25.1713396,263.41012068669284
76,1.23,2.02,5.96,5.3636,0.03282,3159.0,0.12,0.16,-0.27,1,2,5.37484,0.6964771430590521,1,GJ 3323 b,75.4868824,-6.9485133,70.12215039259763
77,1.32,2.31,5.52,40.54,0.1264,3159.0,0.12,0.16,-0.27,1,2,5.37484,0.7117997732997511,1,GJ 3323 c,75.4868824,-6.9485133,70.12215039259763
78,2.46,6.6,2.44,14.207,0.089,3526.0,0.44,0.47,-0.09,1,1,23.619,0.3958451663056873,1,GJ 3341 b,78.9471415,-31.2948458,308.14220890719787
79,3.25,10.6,1.7,24.422,0.142,4014.0,0.58,0.64,-0.03,2,1,6.33256,0.3331855791291218,1,GJ 338 B b,138.5916722,52.6835211,82.61691970182332
80,4.57,13.9,0.8,3.3366496,0.0355,3600.0,0.55,0.54,0.2,1,1,29.4214,0.2749252013535934,1,GJ 3470 b,119.7735021,15.391209,383.842465182363
81,1.264,1.86,5.03,1.1980035,0.01589,3347.0,0.36,0.36,0.11,2,2,27.3644,0.6845446269264263,1,GJ 3473 b,120.5936065,3.3371629,357.00608245142155
82,2.63,7.41,2.24,15.509,0.0876,3347.0,0.36,0.36,0.11,2,2,27.3644,0.3773917077743392,1,GJ 3473 c,120.5936065,3.3371629,357.00608245142155
83,14.3,146.20107,0.275,203.69,0.337,3081.0,0.14,0.12,-0.07,1,2,9.48637,0.3430823281635202,1,GJ 3512 b,130.3316616,59.4918364,123.76269132101167
84,9.32,63.56568,0.431,1599.6,1.292,3081.0,0.14,0.12,-0.07,1,2,9.48637,0.1440400346775027,1,GJ 3512 c,130.3316616,59.4918364,123.76269132101167
85,1.2,1.84,5.6,3.9306,0.036,3505.0,0.34,0.34,-0.12,1,3,9.44181,0.7247964020252516,1,GJ 357 b,144.0074644,-21.6650634,123.18134508158982
