,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name
869,2.86,8.55,2.01,4.761702,0.057,5790.0,1.27,0.99,0.08,1,3,548.686,0.35273478262454244,1,Kepler-142 c
870,2.16,5.31,2.9,41.809118,0.242,5790.0,1.27,0.99,0.08,1,3,548.686,0.4495614510669157,1,Kepler-142 d
871,1.28,2.18,5.71,6.69960006,0.0671,5187.0,0.79,0.82,-0.1,1,1,1054.37,0.6982754998162425,1,Kepler-1420 b
872,1.06,1.2,5.54,23.955378,0.1586,4939.0,0.75,0.79,-0.02,1,1,449.0,0.7763835897939356,2,Kepler-1423 b
873,1.18,1.76,5.89,2.46050993,0.0304,4796.0,0.72,0.77,-0.03,1,1,875.523,0.7129983687135334,1,Kepler-1430 b
874,1.46,2.73,4.82,8.07392849,0.0594,3578.0,0.43,0.46,-0.03,1,1,225.393,0.6298941358889704,1,Kepler-1439 b
875,1.33,2.33,5.44,5.885273,0.066,6075.0,1.24,1.15,-0.185,1,2,384.917,0.6933850041673422,1,Kepler-144 b
876,1.35,2.39,5.34,10.104665,0.094,6075.0,1.24,1.15,-0.185,1,2,384.917,0.6841683759596564,1,Kepler-144 c
877,0.82,0.477,4.75,0.68996783,0.0141,4865.0,0.75,0.81,0.11,1,1,152.075,0.691668004627373,1,Kepler-1446 b
878,1.61,3.22,4.24,12.27065865,0.1058,5774.0,0.93,0.95,-0.16,1,1,768.903,0.5726478712345322,1,Kepler-1448 b
879,1.71,3.57,3.92,54.5094166,0.2401,4524.0,0.68,0.71,-0.02,1,1,505.829,0.5560236685155948,1,Kepler-1450 b
880,2.16,5.31,2.9,49.276764,0.2149,4075.0,0.6,0.62,-0.02,1,1,357.621,0.4524015757562099,1,Kepler-1455 b
881,1.14,1.55,5.75,18.1373829,0.1132,4231.0,0.62,0.64,-0.09,1,1,370.312,0.7377815410165881,1,Kepler-1456 b
882,1.36,2.42,5.29,62.8691611,0.2829,4828.0,0.74,0.78,0.01,1,1,455.479,0.6985043322655232,1,Kepler-1459 b
883,1.96,4.5,3.28,29.9633247,0.1614,4422.0,0.67,0.7,-0.02,1,1,553.218,0.4831294153748262,1,Kepler-1460 b
